id,name,type,specimen_id,plane_of_section_id,failed,section_thickness,qc_date,expression,storage_directory,reference_space_id,weight,sphinx_id,rnaseq_design_id,red_channel,green_channel,blue_channel,delegate,failed_facet
70743907,,SectionDataSet,70091596,1,f,25,02/05/09 22:53,t,/external/aibssan/production32/prod333/image_series_70743907/,9,5270,64063,,,,,f,734881840
71064267,,SectionDataSet,70404867,1,f,25,02/05/09 22:55,t,/external/aibssan/production32/prod334/image_series_71064267/,9,5270,50345,,,,,f,734881840
75042269,,SectionDataSet,74865111,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75042269/,9,5270,67237,,,,,f,734881840
71015807,,SectionDataSet,70309779,1,f,25,02/05/09 22:55,t,/external/aibssan/production32/prod334/image_series_71015807/,9,5270,60854,,,,,f,734881840
71924290,,SectionDataSet,71101496,1,f,25,02/05/09 22:59,t,/external/aibssan/production32/prod336/image_series_71924290/,9,5270,39491,,,,,f,734881840
73635972,,SectionDataSet,71456224,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73635972/,9,5270,9234,,,,,f,734881840
74363345,,SectionDataSet,73540545,1,f,25,02/05/09 23:03,t,/external/aibssan/production32/prod340/image_series_74363345/,9,5270,153966,,,,,f,734881840
70928385,,SectionDataSet,70230607,1,f,25,02/05/09 22:54,t,/external/aibssan/production32/prod333/image_series_70928385/,9,5270,110338,,,,,f,734881840
72283805,,SectionDataSet,71282217,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72283805/,9,5470,153414,,,,,f,734881840
74724728,,SectionDataSet,74481125,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74724728/,9,5270,104074,,,,,f,734881840
74988296,,SectionDataSet,74741201,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74988296/,9,5270,87691,,,,,f,734881840
75084479,,SectionDataSet,74878325,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75084479/,9,5270,153130,,,,,f,734881840
77278973,,SectionDataSet,77232675,1,f,25,02/05/09 22:32,t,/external/aibssan/production32/prod343/image_series_77278973/,9,5270,92828,,,,,f,734881840
74425523,,SectionDataSet,73540579,1,f,25,02/05/09 23:03,t,/external/aibssan/production32/prod340/image_series_74425523/,9,5270,133771,,,,,f,734881840
74658171,,SectionDataSet,74071281,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74658171/,9,5270,129164,,,,,f,734881840
654924,,SectionDataSet,101598,1,f,25,02/05/09 22:37,t,/external/aibssan/production32/prod319/image_series_654924/,9,5270,72157,,,,,f,734881840
71836841,,SectionDataSet,71061912,1,f,25,02/05/09 22:59,t,/external/aibssan/production32/prod336/image_series_71836841/,9,5270,87081,,,,,f,734881840
73636090,,SectionDataSet,71456196,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73636090/,9,5270,9390,,,,,f,734881840
74743271,,SectionDataSet,74481150,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74743271/,9,5270,156412,,,,,f,734881840
74800883,,SectionDataSet,74357307,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74800883/,9,5270,157363,,,,,f,734881840
70431432,,SectionDataSet,69585059,1,f,25,02/05/09 22:52,t,/external/aibssan/production32/prod330/image_series_70431432/,9,5470,110876,,,,,f,734881840
73616033,,SectionDataSet,71444945,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73616033/,9,5470,46203,,,,,f,734881840
74581380,,SectionDataSet,73633970,1,f,25,02/05/09 23:04,t,/external/aibssan/production32/prod340/image_series_74581380/,9,5270,140489,,,,,f,734881840
73925724,,SectionDataSet,71903154,1,f,25,02/05/09 23:02,t,/external/aibssan/production32/prod339/image_series_73925724/,9,5270,164610,,,,,f,734881840
79912542,,SectionDataSet,79398739,1,f,25,02/05/09 22:34,t,/external/aibssan/production32/prod344/image_series_79912542/,9,5470,94288,,,,,f,734881840
74272054,,SectionDataSet,72962240,1,f,25,02/05/09 23:03,t,/external/aibssan/production32/prod339/image_series_74272054/,9,5470,127372,,,,,f,734881840
72472799,,SectionDataSet,71392936,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod338/image_series_72472799/,9,5270,44452,,,,,f,734881840
74512027,,SectionDataSet,73633888,1,f,25,02/05/09 23:04,t,/external/aibssan/production32/prod340/image_series_74512027/,9,5270,9037,,,,,f,734881840
74658043,,SectionDataSet,73989623,1,f,25,02/05/09 23:04,t,/external/aibssan/production32/prod340/image_series_74658043/,9,5270,153059,,,,,f,734881840
73931635,,SectionDataSet,72008723,1,f,25,02/05/09 23:02,t,/external/aibssan/production32/prod339/image_series_73931635/,9,5270,48029,,,,,f,734881840
79567815,,SectionDataSet,79355495,1,f,25,02/05/09 22:33,t,/external/aibssan/production32/prod344/image_series_79567815/,9,5470,79345,,,,,f,734881840
76135829,,SectionDataSet,75819083,1,f,25,02/05/09 23:08,t,/external/aibssan/production32/prod343/image_series_76135829/,9,5270,114221,,,,,f,734881840
72283800,,SectionDataSet,71282164,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72283800/,9,5270,86708,,,,,f,734881840
75147769,,SectionDataSet,75037014,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75147769/,9,5270,145395,,,,,f,734881840
76085749,,SectionDataSet,75720920,1,f,25,02/05/09 23:08,t,/external/aibssan/production32/prod343/image_series_76085749/,9,5270,13009,,,,,f,734881840
73788043,,SectionDataSet,71571400,1,f,25,02/05/09 23:02,t,/external/aibssan/production32/prod338/image_series_73788043/,9,5470,125119,,,,,f,734881840
75651161,,SectionDataSet,75064045,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75651161/,9,5270,12015,,,,,f,734881840
74724680,,SectionDataSet,74373808,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74724680/,9,5270,16054,,,,,f,734881840
74819327,,SectionDataSet,74565871,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74819327/,9,5270,14999,,,,,f,734881840
74512028,,SectionDataSet,73633892,1,f,25,02/05/09 23:04,t,/external/aibssan/production32/prod340/image_series_74512028/,9,5270,26021,,,,,f,734881840
293038,,SectionDataSet,72672,1,f,25,02/05/09 22:35,t,/external/aibssan/production32/prod319/image_series_293038/,9,5270,29353,,,,,f,734881840
323588,,SectionDataSet,83886,1,f,25,02/05/09 22:35,t,/external/aibssan/production32/prod319/image_series_323588/,9,5270,133910,,,,,f,734881840
70634310,,SectionDataSet,70042294,1,f,25,02/05/09 22:53,t,/external/aibssan/production32/prod333/image_series_70634310/,9,5270,55226,,,,,f,734881840
73907505,,SectionDataSet,71903128,1,f,25,02/05/09 23:02,t,/external/aibssan/production32/prod339/image_series_73907505/,9,5470,54775,,,,,f,734881840
70562126,,SectionDataSet,69965074,1,f,25,02/05/09 22:52,t,/external/aibssan/production32/prod332/image_series_70562126/,9,5470,110488,,,,,f,734881840
74658032,,SectionDataSet,73989623,1,f,25,02/05/09 23:04,t,/external/aibssan/production32/prod340/image_series_74658032/,9,5270,50711,,,,,f,734881840
73519850,,SectionDataSet,71393119,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73519850/,9,5270,158212,,,,,f,734881840
74658241,,SectionDataSet,74343241,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74658241/,9,5270,74650,,,,,f,734881840
356857,,SectionDataSet,83930,1,f,25,02/05/09 22:35,t,/external/aibssan/production32/prod319/image_series_356857/,9,5270,15117,,,,,f,734881840
70744323,,SectionDataSet,70091608,1,f,25,02/05/09 22:53,t,/external/aibssan/production32/prod333/image_series_70744323/,9,5470,106773,,,,,f,734881840
75043159,,SectionDataSet,74865176,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75043159/,9,5270,43389,,,,,f,734881840
71670725,,SectionDataSet,70911447,1,f,25,02/05/09 22:58,t,/external/aibssan/production32/prod336/image_series_71670725/,9,5270,123214,,,,,f,734881840
293463,,SectionDataSet,72676,1,f,25,02/05/09 22:35,t,/external/aibssan/production32/prod319/image_series_293463/,9,5270,160964,,,,,f,734881840
79568047,,SectionDataSet,79355507,1,f,25,02/05/09 22:33,t,/external/aibssan/production32/prod344/image_series_79568047/,9,5270,46859,,,,,f,734881840
73521827,,SectionDataSet,71414812,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73521827/,9,5270,12072,,,,,f,734881840
79556640,,SectionDataSet,79338773,1,f,25,02/05/09 22:33,t,/external/aibssan/production32/prod344/image_series_79556640/,9,5270,74144,,,,,f,734881840
72008120,,SectionDataSet,71185654,1,f,25,02/05/09 23:00,t,/external/aibssan/production32/prod337/image_series_72008120/,9,5270,137628,,,,,f,734881840
